name;zutaten;zubereitungszeit_min;schwierigkeitsgrad;vegan
Tomaten-Pasta;Nudeln, Tomaten, Zwiebel, Knoblauch, Olivenöl, Basilikum;20;einfach;True
Pfannkuchen;Mehl, Milch, Eier, Salz, Zucker, Butter;30;mittel;False
Gemüse-Curry;Kartoffeln, Karotten, Zucchini, Kokosmilch, Currypaste, Reis;35;mittel;True
Caesar-Salat;Römersalat, Croutons, Parmesan, Hähnchenbrust, Caesar-Dressing;15;einfach;False
Ofengemüse mit Quinoa;Paprika, Zucchini, Aubergine, Olivenöl, Kräuter, Quinoa;40;einfach;True
Spaghetti Carbonara;Spaghetti, Speck, Eier, Parmesan, Pfeffer;25;mittel;False
Gemüse-Lasagne;Lasagneblätter, Spinat, Zucchini, Tomatensauce, Béchamelsauce, Käse;60;schwer;False
Kürbissuppe;Hokkaido-Kürbis, Zwiebel, Knoblauch, Gemüsebrühe, Sahne oder Kokosmilch;30;einfach;True
Falafel mit Hummus;Kichererbsen, Knoblauch, Kreuzkümmel, Petersilie, Sesam, Tahini;45;mittel;True
Chili con Carne;Hackfleisch, Bohnen, Tomaten, Paprika, Mais, Chilischoten;50;mittel;False
Veganes Chili sin Carne;Kidneybohnen, Mais, Paprika, Tomaten, Zucchini, Sojaschnetzel;45;mittel;True
Shakshuka;Tomaten, Paprika, Zwiebeln, Knoblauch, Eier, Kreuzkümmel;35;einfach;False
Ratatouille;Zucchini, Aubergine, Paprika, Tomaten, Olivenöl, Kräuter der Provence;50;mittel;True
Thai-Pad-Thai;Reisnudeln, Tofu, Erdnüsse, Sojasauce, Limette, Sprossen;40;mittel;True
Linseneintopf;Linsen, Kartoffeln, Karotten, Sellerie, Lorbeerblatt, Brühe;60;einfach;True
